Team 1,Score,Team 2,Score,Date,Video ID
Orlando Magic,98,Boston Celtics,128,1/27/17, yX_eVbEcqe8
San Antonio Spurs,103,New Orleans Pelicans,119,1/27/17, XYXQavn6_XE
Brooklyn Nets,116,Cleveland Cavaliers,124,1/27/17, o_eKtCfxEog
Los Angeles Lakers,88,Utah Jazz,96,1/26/17, 38Ae0cgSsVE
Indiana Pacers,109,Minnesota Timberwolves,103,1/26/17, THYm1llfBwg
Boston Celtics,108,Washington Wizards,123,1/24/17, PouwxBLpMhw
San Antonio Spurs,108,Toronto Raptors,106,1/24/17, Wr2ClLPC4xY
San Antonio Spurs,112,Brooklyn Nets,86,1/23/17, i448sIYT-V8
Cleveland Cavaliers,122,New Orleans Pelicans,124,1/23/17, 7hvEK3o3oSs
Golden State Warriors,102,Miami Heat,105,1/23/17, ehVTDhfrkj0
Houston Rockets,119,Memphis Grizzlies,95,1/21/17, z6emwuLmAx0
San Antonio Spurs,118,Cleveland Cavaliers,115,1/21/17, cPGmseKWjWY
Milwaukee Bucks,97,Miami Heat,109,1/21/17, Yvwkij38kls
Portland Trail Blazers,127,Boston Celtics,123,1/21/17, clYLCo0FyUk
Indiana Pacers,96,Los Angeles Lakers,108,1/20/17, ahb8GN1NPPo
Golden State Warriors,125,Houston Rockets,108,1/20/17, UbsPK8iQEhw
Milwaukee Bucks,96,Orlando Magic,112,1/20/17, Oy6KWlxAxNg
Denver Nuggets,104,San Antonio Spurs,118,1/19/17, bVEILr4JLtk
Phoenix Suns,103,Cleveland Cavaliers,118,1/19/17, tjQRC2MxuN0
Oklahoma City Thunder,100,Golden State Warriors,121,1/18/17, DaLl64W5Afw
Milwaukee Bucks,92,Houston Rockets,111,1/18/17, C--ET5v5huA
New York Knicks,117,Boston Celtics,106,1/18/17, B46eOPC3eyQ
Denver Nuggets,127,Los Angeles Lakers,121,1/17/17, jiGz-GMKmA4
Minnesota Timberwolves,114,San Antonio Spurs,122,1/17/17, xxge_PTnq9k
Dallas Mavericks,99,Chicago Bulls,98,1/17/17, 1qkX18AEgwA
Houston Rockets,103,Miami Heat,109,1/17/17, wz-t9u5e3ME
Oklahoma City Thunder,98,Los Angeles Clippers,120,1/16/17, S6AP1NOIpgk
Cleveland Cavaliers,91,Golden State Warriors,126,1/16/17, 93qRmApzAT8
Charlotte Hornets,98,Boston Celtics,108,1/16/17, 88Ds3htwNCs
Cleveland Cavaliers,91,Golden State Warriors,126,1/16/17, RgT8-_OXp24
Detroit Pistons,102,Los Angeles Lakers,97,1/15/17, IM_SM_wowfo
Oklahoma City Thunder,122,Sacramento Kings,118,1/15/17, 9XE-A6w9sBA
Chicago Bulls,108,Memphis Grizzlies,104,1/15/17, 99Z7NPTsjis
Houston Rockets,137,Brooklyn Nets,112,1/15/17, xgxMGpcMEyM
San Antonio Spurs,105,Phoenix Suns,108,1/14/17, 8ZTUfBYFYkg
Los Angeles Lakers,97,Los Angeles Clippers,113,1/14/17, LCaYJ4HVWJw
Memphis Grizzlies,110,Houston Rockets,105,1/13/17, 2CxI-I6KW5M
Oklahoma City Thunder,86,Minnesota Timberwolves,96,1/13/17, rAdkkvFKihY
Detroit Pistons,107,Golden State Warriors,127,1/12/17, 2IRVxWoAYF8
Los Angeles Lakers,94,San Antonio Spurs,134,1/12/17, x2gBpe0oZkA
Chicago Bulls,89,New York Knicks,104,1/12/17, B5x_e4elmDU
Cleveland Cavaliers,86,Portland Trail Blazers,102,1/11/17, P-lINngfQQA
Miami Heat,95,Golden State Warriors,107,1/10/17, CBRCx8CmlVw
Cleveland Cavaliers,92,Utah Jazz,100,1/10/17, ldz9I8aVWfM
Milwaukee Bucks,109,San Antonio Spurs,107,1/10/17, mSpG8y-8a1k
Boston Celtics,106,Toronto Raptors,114,1/10/17, 0EsjI3JqnYU
New Orleans Pelicans,110,New York Knicks,96,1/9/17, 5__4DTfZ0BU
Orlando Magic,95,Los Angeles Lakers,111,1/8/17, P_DdbmtKaps
Golden State Warriors,117,Sacramento Kings,106,1/8/17, 1bgTMiLpTKk
Cleveland Cavaliers,120,Phoenix Suns,116,1/8/17, Sg1axtmZYCg
Houston Rockets,129,Toronto Raptors,122,1/8/17, WC85LW6r1PE
Charlotte Hornets,85,San Antonio Spurs,102,1/7/17, kG-BfC5uIkQ
Toronto Raptors,118,Chicago Bulls,123,1/7/17, 7s0hVKwtjTI
Denver Nuggets,106,Oklahoma City Thunder,121,1/7/17, gcJqBvIlMmE
Miami Heat,100,Los Angeles Lakers,127,1/6/17, ZSEA9Jkb0po
Memphis Grizzlies,128,Golden State Warriors,119,1/6/17, eOFVORC2XJ4
New York Knicks,116,Milwaukee Bucks,111,1/6/17, craSjm19fHw
Cleveland Cavaliers,116,Brooklyn Nets,108,1/6/17, AQtrUAc5FOs
Los Angeles Lakers,109,Portland Trail Blazers,118,1/5/17, gI14F66RR2Q
San Antonio Spurs,127,Denver Nuggets,99,1/5/17, EqywXyAr9qc
Oklahoma City Thunder,116,Houston Rockets,118,1/5/17, NvUnULMCJwk
Memphis Grizzlies,106,Los Angeles Clippers,115,1/4/17, GV4NVJ49FfU
Portland Trail Blazers,117,Golden State Warriors,125,1/4/17, K3WMe28xLCY
Chicago Bulls,106,Cleveland Cavaliers,94,1/4/17, QNYllVAsg8o
Milwaukee Bucks,105,New York Knicks,104,1/4/17, WxXbYz-_YWA
Memphis Grizzlies,102,Los Angeles Lakers,116,1/3/17, qV__n9cvQ6M
Toronto Raptors,82,San Antonio Spurs,110,1/3/17, 1MXqSQFaiUk
Utah Jazz,104,Boston Celtics,115,1/3/17, 2sAM40XEi9s
Denver Nuggets,119,Golden State Warriors,127,1/2/17, b7FU73N2COI
Oklahoma City Thunder,94,Milwaukee Bucks,98,1/2/17, hF-fzOL5_9w
New Orleans Pelicans,82,Cleveland Cavaliers,90,1/2/17, 3EV-PJuv1Fc
Dallas Mavericks,99,Golden State Warriors,108,12/30/16, nsiDml1UiL8
Milwaukee Bucks,99,Minnesota Timberwolves,116,12/30/16, nQSEGJJdJ50
Miami Heat,114,Boston Celtics,117,12/30/16, ViVcvsqj6MA
Oklahoma City Thunder,80,Memphis Grizzlies,114,12/29/16, 6GGIrcL0yxw
Boston Celtics,118,Cleveland Cavaliers,124,12/29/16, jlz2o1FZuVc
Toronto Raptors,111,Golden State Warriors,121,12/28/16, yz4NIVHFiB8
Phoenix Suns,98,San Antonio Spurs,119,12/28/16, u8AIhqykAkk
Brooklyn Nets,99,Chicago Bulls,101,12/28/16, C6hHAN2Lwpk
Milwaukee Bucks,119,Detroit Pistons,94,12/28/16, VNcXU8JDbQU
Utah Jazz,102,Los Angeles Lakers,100,12/27/16, YA7PsZdYcIo
Houston Rockets,123,Dallas Mavericks,107,12/27/16, gFb7SIYL1Og
Memphis Grizzlies,103,Boston Celtics,113,12/27/16, l8HLyA8chYc
Oklahoma City Thunder,106,Miami Heat,94,12/27/16, Iifn4qIuqNk
Toronto Raptors,95,Portland Trail Blazers,91,12/26/16, tbrXU6LvgUY
Indiana Pacers,85,Chicago Bulls,90,12/26/16, dOe8TnemdNQ
Phoenix Suns,115,Houston Rockets,131,12/26/16, 6M0BPH_F4Ak
Cleveland Cavaliers,90,Detroit Pistons,106,12/26/16, _g15VQDSU08
Los Angeles Clippers,102,Los Angeles Lakers,111,12/25/16, eHOs4sqBCV8
Minnesota Timberwolves,100,Oklahoma City Thunder,112,12/25/16, mi6yVBjKDYM
