homeTeam,homeTeamScore,awayTeam,awayTeamScore,videoID,datePlayed,thumbnail
Phoenix_Suns,96,Milwaukee_Bucks,100, LJJY46jASrY,2/26/17,
San_Antonio_Spurs,119,Los_Angeles_Lakers,98, JAHTPIQHQIc,2/26/17,
Brooklyn_Nets,95,Golden_State_Warriors,112, 3WTSwfXsGGc,2/25/17,
Chicago_Bulls,117,Cleveland_Cavaliers,99, v47HaxXgy9w,2/25/17,
San_Antonio_Spurs,105,Los_Angeles_Clippers,97, tzUX_-gl8Xc,2/24/17,
Boston_Celtics,97,Toronto_Raptors,107, B-LWXhWNr1s,2/24/17,
Los_Angeles_Lakers,93,Oklahoma_City_Thunder,110, tls3JmU_-zY,2/24/17,
Los_Angeles_Clippers,113,Golden_State_Warriors,123, klbUtjRfbA0,2/23/17,
Houston_Rockets,129,New_Orleans_Pelicans,99, z2IX2sg8BlA,2/23/17,
New_York_Knicks,104,Cleveland_Cavaliers,119, w1jMR732XdM,2/23/17,
Team_EAST,,Team_WEST,, RllGs6GWwsI,2/19/17,
Boston_Celtics,103,Chicago_Bulls,104, BRt5DR8T7Tc,2/16/17,
Sacramento_Kings,86,Golden_State_Warriors,109, UdJJtZScv0A,2/15/17,
Cleveland_Cavaliers,116,Minnesota_Timberwolves,108, r1ZWLmb4a2U,2/14/17,
Golden_State_Warriors,110,Denver_Nuggets,132, hcjguHTsldg,2/13/17,
Boston_Celtics,111,Dallas_Mavericks,98, gCZFtAIB4N4,2/13/17,
San_Antonio_Spurs,110,Indiana_Pacers,106, ZZdkOmCjmso,2/13/17,
Chicago_Bulls,89,Minnesota_Timberwolves,117, aUkN61x60gs,2/12/17,
San_Antonio_Spurs,90,New_York_Knicks,94, lQj0jbWy5xM,2/12/17,
Golden_State_Warriors,130,Oklahoma_City_Thunder,114, obmRMQlqKAs,2/11/17,
Denver_Nuggets,109,Cleveland_Cavaliers,125, bHQ4Av1NsLU,2/11/17,
Chicago_Bulls,97,Phoenix_Suns,115, Dpm1NZ4XuKU,2/10/17,
Los_Angeles_Lakers,122,Milwaukee_Bucks,114, Y4cjS5m-jo0,2/10/17,
Golden_State_Warriors,122,Memphis_Grizzlies,107, TqFr8R6HmpU,2/10/17,
San_Antonio_Spurs,103,Detroit_Pistons,92, RdFyox32Puc,2/10/17,
Cleveland_Cavaliers,109,Oklahoma_City_Thunder,118, 41FzSRyjuKc,2/9/17,
Houston_Rockets,107,Charlotte_Hornets,95, 2K-O6TVHDUY,2/9/17,
Boston_Celtics,92,Sacramento_Kings,108, jIxhRWwfXvA,2/8/17,
Chicago_Bulls,92,Golden_State_Warriors,123, hl9_aFWbByU,2/8/17,
Miami_Heat,106,Milwaukee_Bucks,88, 7JYkwWeryWc,2/8/17,
Cleveland_Cavaliers,132,Indiana_Pacers,117, elwDhbpRn6Q,2/8/17,
Orlando_Magic,104,Houston_Rockets,128, 2IeYIfNUJnQ,2/7/17,
Brooklyn_Nets,107,Charlotte_Hornets,111, 8ad1u7iZpnA,2/7/17,
San_Antonio_Spurs,74,Memphis_Grizzlies,89, lotnBN8uvCc,2/6/17,
Cleveland_Cavaliers,140,Washington_Wizards,135, 5CIEQiy85YI,2/6/17,
Los_Angeles_Lakers,121,New_York_Knicks,107, ic1ArVmlx94,2/6/17,
Golden_State_Warriors,106,Sacramento_Kings,109, Aevzj2vO4B4,2/4/17,
Denver_Nuggets,97,San_Antonio_Spurs,121, PRdG5JnlZsA,2/4/17,
Cleveland_Cavaliers,111,New_York_Knicks,104, bLDVvzMw6oo,2/4/17,
Chicago_Bulls,117,Houston_Rockets,121, huuaM3d6uN0,2/3/17,
Los_Angeles_Lakers,107,Boston_Celtics,113, aKtV3UaCtHU,2/3/17,
Golden_State_Warriors,133,Los_Angeles_Clippers,120, f8-tnlyociA,2/2/17,
Philadelphia_76ers,86,San_Antonio_Spurs,102, A6v66bnL1Ys,2/2/17,
Los_Angeles_Lakers,108,Washington_Wizards,116, y7DOrRxRTtY,2/2/17,
Charlotte_Hornets,111,Golden_State_Warriors,126, 5pvmA4_ZRGM,2/1/17,
Minnesota_Timberwolves,97,Cleveland_Cavaliers,125, ewTTjTsw244,2/1/17,
Oklahoma_City_Thunder,94,San_Antonio_Spurs,108, jLThdGMMnes,1/31/17,
Sacramento_Kings,83,Houston_Rockets,105, 47BjnWn6IyY,1/31/17,
Detroit_Pistons,109,Boston_Celtics,113, pMh0NuT0uXg,1/30/17,
Cleveland_Cavaliers,97,Dallas_Mavericks,104, VFXpmxC5ZTU,1/30/17,
Golden_State_Warriors,113,Portland_Trail_Blazers,111, -17L5yzhjpc,1/29/17,
Oklahoma_City_Thunder,91,Cleveland_Cavaliers,107, bNMruSQqJK8,1/29/17,
Boston_Celtics,112,Milwaukee_Bucks,108, 03PpnYFlty4,1/28/17,
Los_Angeles_Clippers,98,Golden_State_Warriors,144, Qgf_ShDyMRU,1/28/17,
Orlando_Magic,98,Boston_Celtics,128, yX_eVbEcqe8,1/27/17,
San_Antonio_Spurs,103,New_Orleans_Pelicans,119, XYXQavn6_XE,1/27/17,
Brooklyn_Nets,116,Cleveland_Cavaliers,124, o_eKtCfxEog,1/27/17,
Los_Angeles_Lakers,88,Utah_Jazz,96, 38Ae0cgSsVE,1/26/17,
Indiana_Pacers,109,Minnesota_Timberwolves,103, THYm1llfBwg,1/26/17,
Boston_Celtics,108,Washington_Wizards,123, PouwxBLpMhw,1/24/17,
San_Antonio_Spurs,108,Toronto_Raptors,106, Wr2ClLPC4xY,1/24/17,
San_Antonio_Spurs,112,Brooklyn_Nets,86, i448sIYT-V8,1/23/17,
Cleveland_Cavaliers,122,New_Orleans_Pelicans,124, 7hvEK3o3oSs,1/23/17,
Golden_State_Warriors,102,Miami_Heat,105, ehVTDhfrkj0,1/23/17,
Houston_Rockets,119,Memphis_Grizzlies,95, z6emwuLmAx0,1/21/17,
San_Antonio_Spurs,118,Cleveland_Cavaliers,115, cPGmseKWjWY,1/21/17,
Milwaukee_Bucks,97,Miami_Heat,109, Yvwkij38kls,1/21/17,
Portland_Trail_Blazers,127,Boston_Celtics,123, clYLCo0FyUk,1/21/17,
Indiana_Pacers,96,Los_Angeles_Lakers,108, ahb8GN1NPPo,1/20/17,
Golden_State_Warriors,125,Houston_Rockets,108, UbsPK8iQEhw,1/20/17,
Milwaukee_Bucks,96,Orlando_Magic,112, Oy6KWlxAxNg,1/20/17,
Denver_Nuggets,104,San_Antonio_Spurs,118, bVEILr4JLtk,1/19/17,
Phoenix_Suns,103,Cleveland_Cavaliers,118, tjQRC2MxuN0,1/19/17,
Oklahoma_City_Thunder,100,Golden_State_Warriors,121, DaLl64W5Afw,1/18/17,
Milwaukee_Bucks,92,Houston_Rockets,111, C--ET5v5huA,1/18/17,
New_York_Knicks,117,Boston_Celtics,106, B46eOPC3eyQ,1/18/17,
Denver_Nuggets,127,Los_Angeles_Lakers,121, jiGz-GMKmA4,1/17/17,
Minnesota_Timberwolves,114,San_Antonio_Spurs,122, xxge_PTnq9k,1/17/17,
Dallas_Mavericks,99,Chicago_Bulls,98, 1qkX18AEgwA,1/17/17,
Houston_Rockets,103,Miami_Heat,109, wz-t9u5e3ME,1/17/17,
Oklahoma_City_Thunder,98,Los_Angeles_Clippers,120, S6AP1NOIpgk,1/16/17,
Cleveland_Cavaliers,91,Golden_State_Warriors,126, 93qRmApzAT8,1/16/17,
Charlotte_Hornets,98,Boston_Celtics,108, 88Ds3htwNCs,1/16/17,
Cleveland_Cavaliers,91,Golden_State_Warriors,126, RgT8-_OXp24,1/16/17,
Detroit_Pistons,102,Los_Angeles_Lakers,97, IM_SM_wowfo,1/15/17,
Oklahoma_City_Thunder,122,Sacramento_Kings,118, 9XE-A6w9sBA,1/15/17,
Chicago_Bulls,108,Memphis_Grizzlies,104, 99Z7NPTsjis,1/15/17,
Houston_Rockets,137,Brooklyn_Nets,112, xgxMGpcMEyM,1/15/17,
San_Antonio_Spurs,105,Phoenix_Suns,108, 8ZTUfBYFYkg,1/14/17,
Los_Angeles_Lakers,97,Los_Angeles_Clippers,113, LCaYJ4HVWJw,1/14/17,
Memphis_Grizzlies,110,Houston_Rockets,105, 2CxI-I6KW5M,1/13/17,
Oklahoma_City_Thunder,86,Minnesota_Timberwolves,96, rAdkkvFKihY,1/13/17,
Detroit_Pistons,107,Golden_State_Warriors,127, 2IRVxWoAYF8,1/12/17,
Los_Angeles_Lakers,94,San_Antonio_Spurs,134, x2gBpe0oZkA,1/12/17,
Chicago_Bulls,89,New_York_Knicks,104, B5x_e4elmDU,1/12/17,
Cleveland_Cavaliers,86,Portland_Trail_Blazers,102, P-lINngfQQA,1/11/17,
Miami_Heat,95,Golden_State_Warriors,107, CBRCx8CmlVw,1/10/17,
Cleveland_Cavaliers,92,Utah_Jazz,100, ldz9I8aVWfM,1/10/17,
Milwaukee_Bucks,109,San_Antonio_Spurs,107, mSpG8y-8a1k,1/10/17,
Boston_Celtics,106,Toronto_Raptors,114, 0EsjI3JqnYU,1/10/17,
New_Orleans_Pelicans,110,New_York_Knicks,96, 5__4DTfZ0BU,1/9/17,
Orlando_Magic,95,Los_Angeles_Lakers,111, P_DdbmtKaps,1/8/17,
Golden_State_Warriors,117,Sacramento_Kings,106, 1bgTMiLpTKk,1/8/17,
Cleveland_Cavaliers,120,Phoenix_Suns,116, Sg1axtmZYCg,1/8/17,
Houston_Rockets,129,Toronto_Raptors,122, WC85LW6r1PE,1/8/17,
Charlotte_Hornets,85,San_Antonio_Spurs,102, kG-BfC5uIkQ,1/7/17,
Toronto_Raptors,118,Chicago_Bulls,123, 7s0hVKwtjTI,1/7/17,
Denver_Nuggets,106,Oklahoma_City_Thunder,121, gcJqBvIlMmE,1/7/17,
Miami_Heat,100,Los_Angeles_Lakers,127, ZSEA9Jkb0po,1/6/17,
Memphis_Grizzlies,128,Golden_State_Warriors,119, eOFVORC2XJ4,1/6/17,
New_York_Knicks,116,Milwaukee_Bucks,111, craSjm19fHw,1/6/17,
Cleveland_Cavaliers,116,Brooklyn_Nets,108, AQtrUAc5FOs,1/6/17,
Los_Angeles_Lakers,109,Portland_Trail_Blazers,118, gI14F66RR2Q,1/5/17,
San_Antonio_Spurs,127,Denver_Nuggets,99, EqywXyAr9qc,1/5/17,
Oklahoma_City_Thunder,116,Houston_Rockets,118, NvUnULMCJwk,1/5/17,
