homeTeam,homeTeamScore,awayTeam,awayTeamScore,videoID,datePlayed
Southampton,3,Burnley,1,oxfaswLdJ7U,2016-10-16
Watford,1,Middlesbrough,0,G7mPY3mZrlc,2016-10-16
West_Ham,1,Crystal_Palace,0,avjaSN6zBNQ,2016-10-16
Tottenham,1,West_Brom,1,Wz3H5J8Ej5k,2016-10-16
Stoke_City,2,Sunderland,0,pzDJhbXzVLY,2016-10-16
Bournemouth,6,Hull_City,1,ATQHDzxgUdM,2016-10-16
Chelsea,3,Leicester_City,0,rcii6bQx4mU,2016-10-16
Arsenal,3,Swansea_City,2,N_NnhpvLJWE,2016-10-15
Tottenham,2,Manchester_City,0,ANKUrV4VVh8,2016-10-02
Stoke_City,1,Manchester_United,1,OZFOReviNV4,2016-10-02
Arsenal,1,Burnley,0,1GAPIk5VQs8,2016-10-02
Southampton,0,Leicester_City,0,s7XbPZLJlJE,2016-10-01
West_Ham,1,Middlesbrough,1,A79tXHV-Dkg,2016-10-01
Bournemouth,2,Watford,2,C-uZK8yvpCk,2016-10-01
Sunderland,1,West_Brom,1,T81geDHBk1A,2016-10-01
