Team 1,Score,Team 2,Score,Date,Video ID
Toronto_Raptors,94,Milwaukee_Bucks,101,3/4/17, wxlKSMqcqig
Cleveland_Cavaliers,92,Miami_Heat,120,3/4/17, PBxqiQg61AE
San_Antonio_Spurs,101,New_Orleans_Pelicans,98,3/3/17, APFtCHqMeNg
Oklahoma_City_Thunder,111,Phoenix_Suns,118,3/3/17, mSXvEMWBSN4
Cleveland_Cavaliers,135,Atlanta_Hawks,130,3/3/17, BWUPGPzsR8o
Oklahoma_City_Thunder,109,Portland_Trail_Blazers,114,3/2/17, 5EnN1Ea7ZDw
Golden_State_Warriors,87,Chicago_Bulls,94,3/2/17, CRIKCfJQxQQ
Houston_Rockets,122,Los_Angeles_Clippers,103,3/1/17, -S2EeZXcgnw
Indiana_Pacers,99,San_Antonio_Spurs,100,3/1/17,IpEVEFYiW5s
Cleveland_Cavaliers,99,Boston_Celtics,103,3/1/17,BpHYzCIpSww
Charlotte_Hornets,109,Los_Angeles_Lakers,104,2/28/17, JBniRFF4gE8
Utah_Jazz,106,Oklahoma_City_Thunder,109,2/28/17, lCiKQ22_mLw
Golden_State_Warriors,108,Washington_Wizards,112,2/28/17, fbktmLYD6dQ
Indiana_Pacers,117,Houston_Rockets,108,2/27/17, xnSoDUh-waQ
Golden_State_Warriors,119,Philadelphia_76ers,108,2/27/17, kVaoo69FLqo
Milwaukee_Bucks,95,Cleveland_Cavaliers,102,2/27/17, Phy6RdfxhGA
New_Orleans_Pelicans,110,Oklahoma_City_Thunder,118,2/26/17, kZLIUyApu3E
Boston_Celtics,104,Detroit_Pistons,98,2/26/17, mRX5N6Wv1fw
Phoenix_Suns,96,Milwaukee_Bucks,100,2/26/17, LJJY46jASrY
San_Antonio_Spurs,119,Los_Angeles_Lakers,98,2/26/17, JAHTPIQHQIc
Brooklyn_Nets,95,Golden_State_Warriors,112,2/25/17, 3WTSwfXsGGc
Chicago_Bulls,117,Cleveland_Cavaliers,99,2/25/17, v47HaxXgy9w
San_Antonio_Spurs,105,Los_Angeles_Clippers,97,2/24/17, tzUX_-gl8Xc
Boston_Celtics,97,Toronto_Raptors,107,2/24/17, B-LWXhWNr1s
Los_Angeles_Lakers,93,Oklahoma_City_Thunder,110,2/24/17, tls3JmU_-zY
