homeTeam,homeTeamScore,awayTeam,awayTeamScore,videoID,datePlayed
Miami Heat,106,Milwaukee Bucks,88, 7JYkwWeryWc,2/8/17
Cleveland Cavaliers,132,Indiana Pacers,117, elwDhbpRn6Q,2/8/17
Orlando Magic,104,Houston Rockets,128, 2IeYIfNUJnQ,2/7/17
Brooklyn Nets,107,Charlotte Hornets,111, 8ad1u7iZpnA,2/7/17
San Antonio Spurs,74,Memphis Grizzlies,89, lotnBN8uvCc,2/6/17
Cleveland Cavaliers,140,Washington Wizards,135, 5CIEQiy85YI,2/6/17
Los Angeles Lakers,121,New York Knicks,107, ic1ArVmlx94,2/6/17
Golden State Warriors,106,Sacramento Kings,109, Aevzj2vO4B4,2/4/17
Denver Nuggets,97,San Antonio Spurs,121, PRdG5JnlZsA,2/4/17
Cleveland Cavaliers,111,New York Knicks,104, bLDVvzMw6oo,2/4/17
Chicago Bulls,117,Houston Rockets,121, huuaM3d6uN0,2/3/17
Los Angeles Lakers,107,Boston Celtics,113, aKtV3UaCtHU,2/3/17
Golden State Warriors,133,Los Angeles Clippers,120, f8-tnlyociA,2/2/17
Philadelphia 76ers,86,San Antonio Spurs,102, A6v66bnL1Ys,2/2/17
Los Angeles Lakers,108,Washington Wizards,116, y7DOrRxRTtY,2/2/17
Charlotte Hornets,111,Golden State Warriors,126, 5pvmA4_ZRGM,2/1/17
Minnesota Timberwolves,97,Cleveland Cavaliers,125, ewTTjTsw244,2/1/17
Oklahoma City Thunder,94,San Antonio Spurs,108, jLThdGMMnes,1/31/17
Sacramento Kings,83,Houston Rockets,105, 47BjnWn6IyY,1/31/17
Detroit Pistons,109,Boston Celtics,113, pMh0NuT0uXg,1/30/17
Cleveland Cavaliers,97,Dallas Mavericks,104, VFXpmxC5ZTU,1/30/17
Golden State Warriors,113,Portland Trail Blazers,111, -17L5yzhjpc,1/29/17
Oklahoma City Thunder,91,Cleveland Cavaliers,107, bNMruSQqJK8,1/29/17
Boston Celtics,112,Milwaukee Bucks,108, 03PpnYFlty4,1/28/17
Los Angeles Clippers,98,Golden State Warriors,144, Qgf_ShDyMRU,1/28/17
Orlando Magic,98,Boston Celtics,128, yX_eVbEcqe8,1/27/17
San Antonio Spurs,103,New Orleans Pelicans,119, XYXQavn6_XE,1/27/17
Brooklyn Nets,116,Cleveland Cavaliers,124, o_eKtCfxEog,1/27/17
Los Angeles Lakers,88,Utah Jazz,96, 38Ae0cgSsVE,1/26/17
Indiana Pacers,109,Minnesota Timberwolves,103, THYm1llfBwg,1/26/17
