homeTeam,homeTeamScore,awayTeam,awayTeamScore,videoID,datePlayed,title
Leicester City,2,Stoke City,2,wIaWaUppyB4,12/17/16,10-man Leicester City comeback to earn 2-2 draw v. Stoke City
Watford,0,Sunderland,1,7ar7aa9Fm_A,12/17/16,Sunderland top Watford in 1-0 win
Southampton,3,Bournemouth,1,odb7-O4DtOo,12/18/16,Jay Rodriguez's brace leads Southampton past Bournemouth
Tottenham,2,Burnley,1,TC_IDhJN_zk,12/18/16,Dele Alli  Danny Rose score as Tottenham beat Burnley 2-1
Arsenal,1,Manchester City,2,ypuoN0Rm3o4,12/18/16,Dominant second half helps Manchester City beat Arsenal 2-1
Burnley,0,West Ham,1,wOkltfvxwiM,12/14/16,West Ham edge Burnley 1-0 for pivotal win
Southampton,0,Stoke City,0,KK6cWIZv6wY,12/14/16,Stoke City  Southampton play to scoreless draw
Tottenham,3,Hull City,0,MJS-sxqTveg,12/14/16,Tottenham trounce Hull City 3-0
West Brom,3,Swansea City,1,rV_b9dtEwWI,12/14/16,Salomon Rondon's hat trick leads West Brom past Swansea City
Manchester United,2,Crystal Palace,1,vRWc_a4gKIk,12/14/16,Zlatan Ibrahimovic's late goal helps Manchester United past Crystal Palace
Watford,1,Crystal Palace,1,UaHmLnUVHQo,12/26/16,Manchester City too much for Watford in 2-0 win
Liverpool,3,Middlesbrough,0,qUjYGUZbLkQ,12/14/16,Liverpool dismantle Middlesbrough in 3-0 win
Chelsea,1,Sunderland,0,yHJHM72O_eA,12/14/16,Chelsea top Sunderland  wins 10th straight
Arsenal,1,Everton,2,yuvBGnBWsfg,12/13/16,Ashley Williams provides late winner as Everton top Arsenal
Bournemouth,1,Leicester City,0,N-UsBSiXc3A,12/13/16,Bournemouth hold on to top Leicester City 1-0
Liverpool,2,West Ham,2,ZTBES2Tc54s,12/11/16,Liverpool draw 2-2 with West Ham
Southampton,1,Middlesbrough,0,Aal2cOmxwd8,12/11/16,Southampton clip Middlesbrough for win
Tottenham,0,Manchester United,1,H5QoneNMBy0,12/11/16,Henrikh Mkhitaryan's goal helps Manchester United beat Tottenham
Chelsea,1,West Brom,0,u73zxazkdcI,12/11/16,Diego Costa leads Chelsea past West Brom for ninth straight win
Manchester City,2,Leicester City,4,96qmy_q4RuU,12/10/16,Jamie Vardy's incredible hat trick seals a Leicester win v. Man City
Crystal Palace,3,Hull City,3,eLxfhMKr1hk,12/10/16,Hull CIty  Crystal Palace play to 3-3 draw
Bournemouth,2,Burnley,3,zhe8RwLIIl4,12/10/16,Burnley holds on to beat Bournemouth 3-2
Arsenal,3,Stoke City,1,8pzcqNCgzfE,12/10/16,Arsenal put three goals past Stoke City in win
Swansea City,3,Sunderland,0,J7kQ_98GvkU,12/10/16,Swansea City dismantle Sunderland in big win
Everton,2,Watford,3,QRrN_aXckgg,12/10/16,Watford comes back from a goal down to beat Everton
Hull City,4,Middlesbrough,2,j3xb6I3xsos,12/5/16,Middlesbrough get by Hull City
Manchester United,1,Everton,1,spb6lS4wIDU,12/4/16,Manchester United and Everton play to 1-1 draw
Liverpool,3,Bournemouth,4,AlI5VHMZflo,12/4/16,Bournemouth tops Liverpool 4-3 with thrilling comeback
Arsenal,5,West Ham,1,XAnkKGgSw5s,12/3/16,Arsenal dominate West Ham in 5-1 win
Stoke City,2,Burnley,0,tCj7EwsWG3o,12/3/16,Stoke City handle Burnley 2-0
Southampton,0,Crystal Palace,3,rOFRSJfgB3k,12/3/16,Crystal Palace bury Southampton in three-goal win
Tottenham,5,Swansea City,0,5C5MKH4oXBQ,12/3/16,Tottenham thump Swansea City 5-0
West Brom,3,Watford,1,XdNfa9n4SLo,12/3/16,West Brom top Watford 3-1
Leicester City,1,Sunderland,2,deBr8zrwbCM,12/3/16,Sunderland hold off Leicester City for 2-1 win
Chelsea,3,Manchester City,1,c19lUekl5kY,12/3/16,Chelsea beats Man City after strong second half
