Team1,Score1,Team2,Score2,video link,date,title
Watford,,Burnley,,ady5ij0uVcU,2/4/17,Watford hold on to beat 10-man Burnley 2-1
Chelsea,,Arsenal,,0Qo9ps8vthg,2/4/17,Chelsea cruise past Arsenal for 3-1 win
Everton,,Bournemouth,,CjDCjttVGuw,2/4/17,Lukaku leads Everton to 6-3 win over Bournemouth
Everton,,Stoke City,,m_kJvGHNHTM,2/2/17,Stoke City  Everton settle for 1-1 draw
Manchester United,,Hull City,,laP07E97If4,2/2/17,Hull City stifle Manchester United in 0-0 draw
Manchester City,,West Ham,,u9pCrdlPU0Q,2/2/17,Man City too much for West Ham in 4-0 blowout
Southampton,,Swansea City,,7xiYCIyctXs,2/1/17,Swansea earn second straight win  beat Southampton
Chelsea,,Liverpool,,wXzNKMkaVJU,2/1/17,Liverpool  Chelsea share points in 1-1 draw
West Brom,,Middlesbrough,,t7rLZkbDjOU,2/1/17,Middlesbrough  West Brom play to 1-1 draw
Bournemouth,,Crystal Palace,,2blkHux_v0U,2/1/17,Crystal Palace power past Bournemouth in 2-0 win
Arsenal,,Watford,,bKkCkbWZuhY,2/1/17,Watford clip Arsenal in 2-1 win
Tottenham,,Sunderland,,G7E-PEPBOBw,2/1/17,Sunderland earn draw against Tottenham
Leicester City,,Burnley,,i7egyQF4qhk,2/1/17,Burnley score late to get win against Leicester
Chelsea,,Liverpool,,QsW7CmteVAA,1/25/17,Chelsea set to visit struggling Liverpool at Anfield
Southampton,,Leicester City,,0wKpv4sEeE0,1/22/17,Southampton stifle Leicester City in 3-0 win
Arsenal,,Burnley,,V8FPdwuH8XI,1/22/17,Arsenal snatch win from Burnley with late PK
Chelsea,,Hull City,,8Z83zbFS3Kk,1/22/17,Chelsea beat Hull City as Diego Costa returns
West Ham,,Middlesbrough,,e3xGKzX42dw,1/21/17,West Ham too much for Middlesbrough in 3-1 win
Everton,,Palace,,vW2zbL0LoMo,1/21/17,Everton get late goal to earn win over Palace
Liverpool,,Swansea City,,eAgJqt8ltnU,1/21/17,Swansea City shock Liverpool in 3-2 thriller
West Brom,,Sunderland,,41eo49cVwM8,1/21/17,West Brom power past Sunderland for 2-0 win
Manchester United,,Stoke City,,CyvE-Rtmm1Q,1/21/17,Wayne Rooney's historic goal forces Man United's 1-1 draw with Stoke City
Tottenham,2,Manchester City,2,zgXTuSnG23k,1/21/17,"Manchester City opened the second half with two quick goals, but could not maintain their lead as Tottenham came back to earn a point with a 2-2 draw."
Bournemouth,,Watford,,UB1kdWfqOx4,1/21/17,Bournemouth come back to earn draw with Watford
Liverpool,,Manchester United,,TZW3iTc08l0,1/15/17,Man United  Liverpool share points in 1-1 draw
Everton,,Crystal Palace,,BuLkFq7mCOQ,1/15/17,Everton top Manchester City in 4-0 blowout
Chelsea,,Leicester City,,G0sEEy7BO00,1/14/17,Even without Costa  Chelsea crush Leicester
Tottenham,,West Brom,,iuHbp3sOk4o,1/14/17,Kane's hat-trick leads Tottenham past West Brom
Watford,,Middlesbrough,,4QtUBOsRhvE,1/14/17,Watford  Middlesbrough play to scoreless draw
Southampton,,Burnley,,ydUOwutg64o,1/14/17,Joey Barton's goal helps Burnley past Southampton
Stoke City,,Sunderland,,IfMqji-U9lA,1/14/17,Stoke City power past Sunderland in 3-1 win
Bournemouth,,Hull City,,FMFuaX7lO7g,1/14/17,Hull City come back to beat Bournemouth 3-1
Arsenal,,Swansea City,,6GEfTCNMlBM,1/14/17,Arsenal too much for Swansea City in 4-0 win
West Ham,,Crystal Palace,,f1HTpWYh6_0,1/14/17,West Ham thrash Crystal Palace in 3-0 win
Arsenal,,Bournemouth,,PuZozAYyXxU,1/3/17,Arsenal come back in 3-3 thriller v. Bournemouth
Crystal Palace,,Swansea City,,XwTbG8sTHSc,1/3/17,Swansea earn vital relegation battle win v. Crystal Palace
Stoke City,,Watford,,rMdFQXqo7ww,1/3/17,Stoke City handle Watford in 2-0 win
Everton,,Southampton,,jVSkDQ22b1c,1/3/17,Everton pull away from Southampton for 3-0 win
West Brom,,Hull City,,JA46KzuFEFU,1/3/17,West Brom power past Hull City in 3-1 win
Burnley,,Crystal Palace,,Tqa7jgQoZfk,1/3/17,10-man Manchester City beat Burnley 2-1
Manchester United,,West Ham,,LastE_ZtdY0,1/3/17,Man United earn 6th straight PL win v. 10-man West Ham
Leicester City,,Middlesbrough,,LAoO_Lkw8Ng,1/3/17,Middlesbrough  Leicester play to scoreless draw
Liverpool,,Sunderland,,wUKF7oe0x0I,1/3/17,Sunderland earn 2-2 draw against Liverpool
Tottenham,,Watford,,bASx1vnXs6Q,1/2/17,Harry Kane  Dele Alli lead Tottenham past Watford
Arsenal,,Crystal Palace,,JuYwGwQOu4I,1/2/17,Giroud's wondergoal sparks Arsenal to win over Crystal Palace
Chelsea,,Stoke City,,Yq35nevQ3e8,1/2/17,Chelsea top Stoke City in 4-2 thriller
Leicester City,,West Ham,,FUbZ-kE8jPo,1/2/17,Leicester City hold off West Ham for 1-0 win
Burnley,,Sunderland,,6XCqThr_YGU,1/2/17,Andre Gray's hat-trick leads Burnley to win over Sunderland
Bournemouth,,Swansea City,,bMi5s5LJMqI,1/2/17,Bournemouth puts three goals past Swansea in win
West Brom,,Southampton,,W0zAy_qgtHM,1/2/17,Southampton score first  but fall to West Brom
